seq,stamp,frame,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,0.0,camera_init,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
1,0.5,camera_init,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
2,1.0,camera_init,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,avoid_start,0.20
3,1.5,camera_init,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
4,2.0,camera_init,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
5,2.5,camera_init,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
6,3.0,camera_init,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
7,3.5,camera_init,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
8,4.0,camera_init,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
9,4.5,camera_init,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
10,5.0,camera_init,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
11,5.5,camera_init,5.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
12,6.0,camera_init,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
13,6.5,camera_init,6.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
14,7.0,camera_init,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
15,7.5,camera_init,7.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
16,8.0,camera_init,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
17,8.5,camera_init,8.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
18,9.0,camera_init,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,avoid_end,0.20
19,9.5,camera_init,9.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
20,10.0,camera_init,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
