seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,0.0,camera_init,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
1,0.1,camera_init,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
2,0.2,camera_init,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
3,0.3,camera_init,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
4,0.4,camera_init,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,avoid_start,0.20
5,0.5,camera_init,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
6,0.6,camera_init,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
7,0.7,camera_init,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
8,0.8,camera_init,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
9,0.9,camera_init,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
10,1.0,camera_init,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
11,1.1,camera_init,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
12,1.2,camera_init,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
13,1.3,camera_init,2.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
14,1.4,camera_init,2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
15,1.5,camera_init,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
16,1.6,camera_init,3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
17,1.7,camera_init,3.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
18,1.8,camera_init,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
19,1.9,camera_init,3.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
20,2.0,camera_init,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
21,2.1,camera_init,4.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
22,2.2,camera_init,4.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
23,2.3,camera_init,4.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
24,2.4,camera_init,4.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
25,2.5,camera_init,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
26,2.6,camera_init,5.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
27,2.7,camera_init,5.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
28,2.8,camera_init,5.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
29,2.9,camera_init,5.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
30,3.0,camera_init,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
31,3.1,camera_init,6.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
32,3.2,camera_init,6.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
33,3.3,camera_init,6.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
34,3.4,camera_init,6.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
35,3.5,camera_init,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
36,3.6,camera_init,7.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,avoid_end,0.20
37,3.7,camera_init,7.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
38,3.8,camera_init,7.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
39,3.9,camera_init,7.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
40,4.0,camera_init,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0.20
