seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1787195657.359109,camera_init,-0.014201,0.020130,0.000000,-0.000906,-0.001556,-0.003632,0.999992,-0.007262,none,0.250
1,1787195669.759849,camera_init,0.139142,0.020536,0.000000,-0.000219,-0.000486,-0.001381,0.999999,-0.002762,none,0.250
2,1787195670.559884,camera_init,0.302819,0.009795,0.000000,0.000939,-0.001128,-0.002065,0.999997,-0.004132,none,0.250
3,1787195671.159903,camera_init,0.460540,0.005264,0.000000,0.000306,-0.002278,-0.004321,0.999988,-0.008643,none,0.250
4,1787195671.758909,camera_init,0.635078,-0.000132,0.000000,0.000578,-0.002414,-0.002352,0.999994,-0.004707,none,0.250
5,1787195672.359758,camera_init,0.808238,-0.008106,0.000000,0.001357,-0.001049,-0.000912,0.999998,-0.001826,none,0.250
6,1787195672.959793,camera_init,0.983734,-0.009855,0.000000,0.001710,0.000130,-0.000307,0.999998,-0.000614,none,0.250
7,1787195673.459781,camera_init,1.137517,-0.015772,0.000000,0.001853,-0.001405,-0.000854,0.999997,-0.001713,none,0.250
8,1787195673.959899,camera_init,1.288812,-0.013958,0.000000,0.001543,-0.000676,-0.002017,0.999997,-0.004036,none,0.250
9,1787195674.559824,camera_init,1.472679,-0.029933,0.000000,0.002159,-0.003532,-0.003366,0.999986,-0.006747,none,0.250
10,1787195675.059845,camera_init,1.648051,-0.028911,0.000000,0.001017,-0.002873,-0.002336,0.999993,-0.004679,none,0.250
11,1787195675.559705,camera_init,1.824023,-0.037925,0.000000,0.004479,-0.002240,-0.002169,0.999985,-0.004358,none,0.250
12,1787195675.958787,camera_init,1.975271,-0.046389,0.000000,0.004140,-0.001959,-0.004289,0.999980,-0.008595,none,0.250
13,1787195676.459734,camera_init,2.161521,-0.054023,0.000000,0.004271,-0.001438,-0.009711,0.999943,-0.019435,none,0.250
14,1787195676.959824,camera_init,2.335996,-0.064021,0.000000,0.001407,-0.001329,-0.005896,0.999981,-0.011795,none,0.250
15,1787195677.459709,camera_init,2.511657,-0.065098,0.000000,0.002547,-0.001039,-0.003213,0.999991,-0.006431,none,0.250
16,1787195677.859699,camera_init,2.664727,-0.070347,0.000000,0.002400,-0.000141,-0.005503,0.999982,-0.011007,none,0.250
17,1787195678.359670,camera_init,2.843963,-0.072308,0.000000,0.002386,-0.001631,-0.000200,0.999996,-0.000409,none,0.250
18,1787195678.759749,camera_init,2.999897,-0.080139,0.000000,0.002946,-0.003435,-0.001533,0.999989,-0.003086,none,0.250
19,1787195679.259613,camera_init,3.188761,-0.089015,0.000000,0.000812,-0.002757,-0.001494,0.999995,-0.002993,none,0.250
20,1787195679.659705,camera_init,3.348189,-0.096780,0.000000,0.001213,-0.002570,-0.000580,0.999996,-0.001167,none,0.250
21,1787195680.059695,camera_init,3.512650,-0.102805,0.000000,0.003249,-0.001381,-0.000071,0.999994,-0.000151,none,0.250
22,1787195680.459590,camera_init,3.675099,-0.109863,0.000000,0.003428,-0.000886,-0.005529,0.999978,-0.011063,none,0.250
23,1787195680.859560,camera_init,3.825204,-0.120264,0.000000,0.001656,-0.001774,-0.008577,0.999960,-0.017160,none,0.250
24,1787195681.359603,camera_init,3.993100,-0.123388,0.000000,0.000688,-0.001575,0.005922,0.999981,0.011843,none,0.250
25,1787195681.859643,camera_init,4.170881,-0.110519,0.000000,0.000167,-0.000585,0.023450,0.999725,0.046905,none,0.250
26,1787195682.359571,camera_init,4.347083,-0.095413,0.000000,0.001114,0.000625,0.030517,0.999533,0.061044,none,0.250
27,1787195682.859610,camera_init,4.524102,-0.082603,0.000000,-0.000072,-0.002335,0.041918,0.999118,0.083861,none,0.250
28,1787195683.259516,camera_init,4.691423,-0.068354,0.000000,0.000500,-0.000330,0.043880,0.999037,0.087788,none,0.250
29,1787195683.659625,camera_init,4.847176,-0.055952,0.000000,-0.000918,-0.000390,0.049639,0.998767,0.099319,none,0.250
30,1787195684.159667,camera_init,5.032511,-0.039630,0.000000,-0.000049,-0.001329,0.065029,0.997883,0.130149,none,0.250
31,1787195684.559494,camera_init,5.183502,-0.000081,0.000000,0.001582,-0.000759,0.083769,0.996484,0.167733,none,0.250
32,1787195684.959706,camera_init,5.355980,0.019452,0.000000,0.002771,0.001234,0.083325,0.996518,0.166850,none,0.250
33,1787195685.359582,camera_init,5.517915,0.035865,0.000000,0.003627,0.001420,0.083023,0.996540,0.166248,none,0.250
34,1787195685.759538,camera_init,5.679014,0.062808,0.000000,0.003134,0.000719,0.082843,0.996557,0.165880,none,0.250
35,1787195686.159432,camera_init,5.834914,0.083560,0.000000,0.002568,0.000235,0.078810,0.996886,0.157784,none,0.250
36,1787195686.559515,camera_init,5.993119,0.105125,0.000000,0.003022,0.001413,0.080217,0.996772,0.160615,none,0.250
37,1787195686.959532,camera_init,6.152724,0.107392,0.000000,0.003421,0.001070,0.073458,0.997292,0.147056,none,0.250
38,1787195687.359435,camera_init,6.308229,0.113278,0.000000,0.002040,0.000438,0.069354,0.997590,0.138820,none,0.250
