seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1784445434.887553,camera_init,0.055049,-0.110115,0.000000,0.001272,-0.002932,-0.006141,0.999976,-0.012290,none,0.250
1,1784445471.788381,camera_init,0.204649,-0.124219,0.000000,-0.002953,0.001472,-0.001310,0.999994,-0.002629,none,0.250
2,1784445472.788044,camera_init,0.356999,-0.119184,0.000000,0.000605,-0.000181,0.000872,0.999999,0.001744,none,0.250
3,1784445473.987535,camera_init,0.510898,-0.132832,0.000000,0.000110,0.002438,-0.019271,0.999811,-0.038544,none,0.250
4,1784445474.787614,camera_init,0.681166,-0.131266,0.000000,0.003295,0.006871,-0.019562,0.999780,-0.039085,none,0.250
5,1784445475.887621,camera_init,0.834380,-0.145541,0.000000,0.001035,0.002245,-0.020055,0.999796,-0.040107,none,0.250
6,1784445477.387972,camera_init,0.994138,-0.146557,0.000000,0.007848,0.001087,-0.018256,0.999802,-0.036497,none,0.250
7,1784445478.187768,camera_init,1.157214,-0.155192,0.000000,0.000391,0.005285,-0.017020,0.999841,-0.034040,none,0.250
8,1784445478.887527,camera_init,1.317479,-0.153784,0.000000,0.004411,0.006855,-0.015134,0.999852,-0.030210,none,0.250
9,1784445479.787659,camera_init,1.476367,-0.173991,0.000000,0.005883,0.006178,-0.014121,0.999864,-0.028172,none,0.250
10,1784445480.687856,camera_init,1.629410,-0.176891,0.000000,0.008513,0.007794,-0.018584,0.999761,-0.037039,none,0.250
11,1784445481.287542,camera_init,1.800617,-0.180537,0.000000,0.008790,0.008832,-0.018690,0.999748,-0.037230,none,0.250
12,1784445481.888348,camera_init,1.951098,-0.188315,0.000000,0.009953,0.009793,-0.016073,0.999773,-0.031955,none,0.250
13,1784445482.587940,camera_init,2.107847,-0.200726,0.000000,0.008147,0.012012,-0.014503,0.999789,-0.028816,none,0.250
14,1784445482.987855,camera_init,2.260737,-0.195933,0.000000,0.009412,0.010438,-0.015978,0.999774,-0.031765,none,0.250
15,1784445483.587649,camera_init,2.419415,-0.201643,0.000000,0.010229,0.012435,-0.013202,0.999783,-0.026155,none,0.250
16,1784445484.287527,camera_init,2.575067,-0.208662,0.000000,0.008739,0.013620,-0.010505,0.999814,-0.020777,none,0.250
17,1784445484.887581,camera_init,2.742793,-0.206354,0.000000,0.007466,0.013351,-0.008846,0.999844,-0.017497,none,0.250
18,1784445485.487777,camera_init,2.909992,-0.208746,0.000000,0.007706,0.014392,-0.007271,0.999840,-0.014324,none,0.250
19,1784445486.188809,camera_init,3.077580,-0.223039,0.000000,0.008643,0.011938,-0.004795,0.999880,-0.009386,none,0.250
20,1784445487.088264,camera_init,3.246065,-0.215994,0.000000,0.010110,0.011410,-0.002588,0.999880,-0.004946,none,0.250
21,1784445487.887913,camera_init,3.417019,-0.230931,0.000000,0.009458,0.010384,-0.003542,0.999895,-0.006889,none,0.250
22,1784445488.787615,camera_init,3.588689,-0.229354,0.000000,0.008015,0.014783,-0.004130,0.999850,-0.008025,none,0.250
23,1784445489.887522,camera_init,3.740512,-0.230320,0.000000,0.008300,0.007032,-0.001645,0.999939,-0.003173,none,0.250
24,1784445490.887602,camera_init,3.905296,-0.232538,0.000000,0.012228,0.013382,-0.001235,0.999835,-0.002142,none,0.250
25,1784445491.988252,camera_init,4.058832,-0.237116,0.000000,0.008834,0.007038,0.000515,0.999936,0.001155,none,0.250
26,1784445492.987509,camera_init,4.213966,-0.231921,0.000000,0.007714,0.005941,0.003584,0.999946,0.007260,none,0.250
27,1784445493.987620,camera_init,4.380202,-0.233259,0.000000,0.007777,0.012047,0.005493,0.999882,0.011175,none,0.250
28,1784445494.787805,camera_init,4.530903,-0.233366,0.000000,0.006739,0.011185,0.007667,0.999885,0.015488,none,0.250
29,1784445495.587767,camera_init,4.683436,-0.239434,0.000000,0.010795,0.015771,-0.002633,0.999814,-0.004926,none,0.250
30,1784445496.887686,camera_init,4.849125,-0.258245,0.000000,0.009807,0.015439,-0.016126,0.999703,-0.031960,none,0.250
31,1784445498.487904,camera_init,5.004439,-0.259470,0.000000,0.010093,0.009417,-0.011509,0.999838,-0.022831,none,0.250
32,1784445499.187577,camera_init,5.154783,-0.259478,0.000000,0.012129,0.019990,-0.010656,0.999670,-0.020839,none,0.250
33,1784445500.387194,camera_init,5.316132,-0.264387,0.000000,0.011421,0.018322,-0.011326,0.999703,-0.022244,none,0.250
34,1784445502.387523,camera_init,5.472844,-0.265866,0.000000,0.006465,0.014842,-0.003856,0.999862,-0.007523,none,0.250
35,1784445503.687289,camera_init,5.624118,-0.263243,0.000000,0.009133,0.012589,0.001054,0.999878,0.002338,none,0.250
36,1784445505.387774,camera_init,5.783593,-0.263736,0.000000,0.011689,0.013284,0.003109,0.999839,0.006530,none,0.250
37,1784445506.588326,camera_init,5.952511,-0.266311,0.000000,0.009968,0.012511,0.006628,0.999850,0.013507,none,0.250
38,1784445507.887561,camera_init,6.116640,-0.264311,0.000000,0.005087,0.014150,0.010304,0.999834,0.020759,none,0.250
39,1784445508.987647,camera_init,6.285832,-0.260833,0.000000,0.008196,0.014840,0.011250,0.999793,0.022751,none,0.250
