seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1786018526.856976,camera_init,0.026922,-0.025247,0.000000,0.000195,0.003963,0.014522,0.999887,0.029046,none,0.250
1,1786018569.357283,camera_init,0.178630,-0.027387,0.000000,-0.001406,0.004903,0.015539,0.999866,0.031067,none,0.250
2,1786018570.657390,camera_init,0.330739,-0.037287,0.000000,-0.000051,0.003531,0.013713,0.999900,0.027426,none,0.250
3,1786018572.157365,camera_init,0.480898,-0.032286,0.000000,-0.000087,-0.000062,0.015971,0.999872,0.031943,none,0.250
4,1786018573.457414,camera_init,0.641923,-0.032700,0.000000,-0.001436,0.000343,0.016969,0.999855,0.033939,none,0.250
5,1786018574.857236,camera_init,0.795975,-0.031985,0.000000,-0.001596,0.000746,0.017043,0.999853,0.034085,none,0.250
6,1786018576.257342,camera_init,0.953904,-0.024556,0.000000,0.000579,0.003388,0.016258,0.999862,0.032522,none,0.250
7,1786018577.857203,camera_init,1.113122,-0.031475,0.000000,-0.000265,0.001753,0.016807,0.999857,0.033614,none,0.250
8,1786018579.357426,camera_init,1.269702,-0.034172,0.000000,-0.002979,-0.000453,0.015731,0.999872,0.031466,none,0.250
9,1786018605.857210,camera_init,1.358978,-0.034157,0.000000,-0.001112,0.000080,0.014979,0.999887,0.029960,ext:piper_stop_1,0.250
10,1786018642.257175,camera_init,1.509669,-0.030589,0.000000,-0.001387,0.001441,0.014842,0.999888,0.029680,none,0.250
11,1786018643.757070,camera_init,1.669740,-0.037738,0.000000,-0.000886,0.002821,0.007539,0.999967,0.015073,none,0.250
12,1786018645.657159,camera_init,1.820946,-0.043814,0.000000,-0.000708,0.002501,0.004729,0.999985,0.009455,none,0.250
13,1786018647.757104,camera_init,1.974439,-0.045826,0.000000,-0.000073,0.001441,0.003321,0.999993,0.006641,none,0.250
14,1786018649.457163,camera_init,2.130232,-0.052100,0.000000,-0.001723,0.000939,0.007213,0.999972,0.014423,none,0.250
15,1786018651.257068,camera_init,2.281947,-0.053674,0.000000,0.001840,0.005296,0.007207,0.999958,0.014434,none,0.250
16,1786018664.457094,camera_init,2.283724,-0.049999,0.000000,0.001336,0.002931,0.007981,0.999963,0.015970,ext:piper_stop_2,0.250
17,1786018678.557067,camera_init,2.440845,-0.047861,0.000000,0.003315,0.003170,0.008071,0.999957,0.016164,none,0.250
18,1786018680.557017,camera_init,2.592710,-0.064807,0.000000,0.001190,0.002598,0.005347,0.999982,0.010701,none,0.250
19,1786018695.256926,camera_init,2.681787,-0.065946,0.000000,0.000998,0.003094,0.004736,0.999984,0.009478,ext:piper_stop_3,0.250
20,1786018722.756822,camera_init,2.835087,-0.056165,0.000000,0.001812,0.001669,0.006041,0.999979,0.012087,none,0.250
21,1786018724.156773,camera_init,2.989094,-0.079019,0.000000,0.000804,0.003009,0.004500,0.999985,0.009004,none,0.250
22,1786018744.856805,camera_init,3.077204,-0.083648,0.000000,0.001408,0.001195,0.002885,0.999994,0.005773,ext:piper_stop_4,0.250
23,1786018769.056803,camera_init,3.203230,-0.034007,0.000000,-0.000908,0.006363,0.088981,0.996013,0.178197,none,0.250
24,1786018770.556853,camera_init,3.337930,0.032101,0.000000,-0.003232,0.007815,0.140558,0.990036,0.282026,none,0.250
25,1786018771.756863,camera_init,3.433943,0.130405,0.000000,-0.005498,0.009569,0.229658,0.973209,0.463415,none,0.250
26,1786018772.856981,camera_init,3.533765,0.250418,0.000000,-0.008280,0.012648,0.309332,0.950834,0.628940,none,0.250
27,1786018774.156843,camera_init,3.636233,0.379179,0.000000,-0.012208,0.015720,0.389816,0.920678,0.800834,none,0.250
