seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1786976000.493192,camera_init,0.047358,-0.039766,0.000000,0.000174,-0.000299,0.005746,0.999983,0.011491,none,0.250
1,1786976041.892135,camera_init,0.199653,-0.053790,0.000000,-0.000235,0.002414,-0.008059,0.999965,-0.016120,none,0.250
2,1786976047.092161,camera_init,0.357322,-0.028818,0.000000,0.000895,0.000128,-0.000829,0.999999,-0.001658,none,0.250
3,1786976048.892031,camera_init,0.507549,-0.040967,0.000000,0.000566,0.001573,0.000688,0.999998,0.001378,none,0.250
4,1786976050.692231,camera_init,0.659695,-0.059529,0.000000,-0.001945,-0.001288,0.001418,0.999996,0.002841,none,0.250
5,1786976052.392050,camera_init,0.812697,-0.054115,0.000000,-0.002043,-0.001476,0.003009,0.999992,0.006023,none,0.250
6,1786976054.092027,camera_init,0.974344,-0.057508,0.000000,-0.000325,0.000453,0.002285,0.999997,0.004569,none,0.250
7,1786976061.892160,camera_init,1.125134,-0.078946,0.000000,-0.000853,-0.002493,-0.001444,0.999995,-0.002883,none,0.250
8,1786976063.592165,camera_init,1.281340,-0.080081,0.000000,-0.000229,-0.001719,-0.004934,0.999986,-0.009868,none,0.250
9,1786976065.292112,camera_init,1.435685,-0.091197,0.000000,-0.001558,-0.000439,-0.006784,0.999976,-0.013568,none,0.250
10,1786976067.092162,camera_init,1.586781,-0.115679,0.000000,-0.002550,-0.000183,-0.008240,0.999963,-0.016478,none,0.250
11,1786976091.492949,camera_init,1.624549,-0.111055,0.000000,-0.002432,-0.000323,-0.008389,0.999962,-0.016776,ext:piper_stop_1,0.250
12,1786976109.592443,camera_init,1.779527,-0.111021,0.000000,-0.002499,-0.002552,-0.003322,0.999988,-0.006631,none,0.250
13,1786976111.792515,camera_init,1.934257,-0.117676,0.000000,-0.001505,-0.000956,-0.000060,0.999998,-0.000117,none,0.250
14,1786976114.192347,camera_init,2.094096,-0.126058,0.000000,-0.000246,-0.000083,0.001015,0.999999,0.002030,none,0.250
15,1786976116.392282,camera_init,2.247323,-0.127583,0.000000,0.000357,-0.001309,0.002726,0.999995,0.005451,none,0.250
16,1786976135.292239,camera_init,2.294565,-0.124047,0.000000,-0.000528,-0.000431,0.001691,0.999998,0.003382,ext:piper_stop_2,0.250
17,1786976150.892096,camera_init,2.447988,-0.131032,0.000000,-0.002107,-0.000524,0.006703,0.999975,0.013409,none,0.250
18,1786976152.592322,camera_init,2.605334,-0.136615,0.000000,-0.000315,0.001752,0.009597,0.999952,0.019193,none,0.250
19,1786976174.692874,camera_init,2.679553,-0.137516,0.000000,0.001324,-0.001560,0.006869,0.999974,0.013734,ext:piper_stop_3,0.250
