seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1786781012.597079,camera_init,0.021756,0.067626,0.000000,-0.000661,-0.002157,0.011219,0.999935,0.022441,none,0.250
1,1786781024.997975,camera_init,0.183893,0.062241,0.000000,-0.000160,-0.000460,0.014134,0.999900,0.028269,none,0.250
2,1786781025.698143,camera_init,0.350216,0.060788,0.000000,0.000042,-0.002369,0.013093,0.999911,0.026187,none,0.250
3,1786781026.297753,camera_init,0.501061,0.061924,0.000000,0.001711,-0.001232,0.014669,0.999890,0.029335,none,0.250
4,1786781026.797899,camera_init,0.655468,0.062595,0.000000,0.001793,0.000525,0.012512,0.999920,0.025027,none,0.250
5,1786781027.298255,camera_init,0.845570,0.063137,0.000000,0.001926,-0.000560,0.015884,0.999872,0.031767,none,0.250
6,1786781027.698105,camera_init,1.013087,0.056768,0.000000,0.000875,0.001924,0.018010,0.999836,0.036024,none,0.250
7,1786781028.098003,camera_init,1.163607,0.064353,0.000000,0.002217,0.004027,0.021808,0.999752,0.043638,none,0.250
8,1786781028.497967,camera_init,1.338982,0.059368,0.000000,0.002269,0.005115,0.016045,0.999856,0.032116,none,0.250
9,1786781028.898837,camera_init,1.500059,0.055649,0.000000,0.003570,0.004080,0.002938,0.999981,0.005906,none,0.250
10,1786781029.297897,camera_init,1.658833,0.055698,0.000000,0.002452,0.003247,0.000299,0.999992,0.000614,none,0.250
11,1786781029.696597,camera_init,1.821025,0.050031,0.000000,0.000109,0.002543,-0.000987,0.999996,-0.001973,none,0.250
12,1786781030.196340,camera_init,1.981887,0.045994,0.000000,0.001177,-0.000831,-0.000723,0.999999,-0.001448,none,0.250
13,1786781030.692544,camera_init,2.156236,0.046176,0.000000,0.001643,0.001340,0.000729,0.999997,0.001462,none,0.250
14,1786781031.194539,camera_init,2.335873,0.039117,0.000000,0.000991,0.002164,0.001176,0.999996,0.002357,none,0.250
15,1786781031.597798,camera_init,2.498567,0.047100,0.000000,-0.000826,0.001011,0.005507,0.999984,0.011013,none,0.250
16,1786781031.998097,camera_init,2.659515,0.043218,0.000000,-0.000904,0.000425,0.009262,0.999957,0.018522,none,0.250
17,1786781032.395957,camera_init,2.822809,0.043167,0.000000,0.001249,-0.000324,0.010840,0.999940,0.021679,none,0.250
18,1786781032.797828,camera_init,3.009005,0.041277,0.000000,0.000837,-0.000423,0.012507,0.999921,0.025015,none,0.250
19,1786781033.195956,camera_init,3.200032,0.038109,0.000000,0.001718,0.004147,0.012654,0.999910,0.025324,none,0.250
20,1786781033.598046,camera_init,3.383328,0.037600,0.000000,-0.000697,0.002900,0.014188,0.999895,0.028372,none,0.250
21,1786781033.997201,camera_init,3.538471,0.038589,0.000000,-0.000735,-0.000343,0.014600,0.999893,0.029201,none,0.250
22,1786781034.398440,camera_init,3.710154,0.036982,0.000000,0.000476,0.001036,0.014463,0.999895,0.028927,none,0.250
23,1786781034.798190,camera_init,3.888869,0.037120,0.000000,-0.000043,0.000368,0.016430,0.999865,0.032861,none,0.250
24,1786781035.198246,camera_init,4.072531,0.033088,0.000000,0.000448,-0.002667,0.018600,0.999823,0.037200,none,0.250
25,1786781035.598221,camera_init,4.261383,0.036022,0.000000,-0.000329,-0.001750,0.010858,0.999939,0.021718,none,0.250
26,1786781035.998075,camera_init,4.414934,0.038249,0.000000,-0.000552,-0.002894,0.017247,0.999847,0.034499,none,0.250
27,1786781036.398035,camera_init,4.579786,0.037440,0.000000,0.001078,-0.000352,0.018492,0.999828,0.036986,none,0.250
28,1786781036.798069,camera_init,4.776762,0.039690,0.000000,0.001350,0.002418,0.020590,0.999784,0.041190,none,0.250
29,1786781037.197904,camera_init,4.949430,0.035097,0.000000,0.000774,0.002307,0.022425,0.999746,0.044858,none,0.250
30,1786781037.597489,camera_init,5.119714,0.045003,0.000000,0.000179,0.000900,0.022450,0.999748,0.044904,none,0.250
31,1786781037.998914,camera_init,5.305484,0.050805,0.000000,0.001391,-0.001165,0.019036,0.999817,0.038071,none,0.250
32,1786781038.398558,camera_init,5.475867,0.031258,0.000000,0.002249,-0.001051,0.005945,0.999979,0.011886,none,0.250
33,1786781038.898660,camera_init,5.658556,0.036143,0.000000,0.001862,-0.002935,0.003556,0.999988,0.007101,none,0.250
34,1786781039.396945,camera_init,5.840776,0.034438,0.000000,0.001711,-0.002285,0.001178,0.999995,0.002348,none,0.250
35,1786781039.798321,camera_init,5.992726,0.033117,0.000000,-0.000480,-0.000929,0.004148,0.999991,0.008298,none,0.250
36,1786781040.196235,camera_init,6.151108,0.033780,0.000000,0.000652,-0.002749,0.003953,0.999988,0.007903,none,0.250
37,1786781040.696526,camera_init,6.339595,0.023474,0.000000,0.000653,-0.003285,0.005788,0.999978,0.011572,none,0.250
38,1786781041.095895,camera_init,6.516577,0.032700,0.000000,0.001527,0.000275,0.006382,0.999978,0.012764,none,0.250
39,1786781041.493348,camera_init,6.686727,0.013497,0.000000,0.001650,-0.001101,-0.000839,0.999998,-0.001682,none,0.250
40,1786781041.895843,camera_init,6.854397,0.006216,0.000000,0.001724,-0.002823,-0.007684,0.999965,-0.015379,none,0.250
41,1786781042.297778,camera_init,7.034471,-0.010376,0.000000,0.002767,-0.001220,-0.020052,0.999794,-0.040113,none,0.250
