seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1780290845.233320,camera_init,-0.002801,0.011116,0.000000,0.000404,-0.002491,-0.003902,0.999989,-0.007807,none,0.300
1,1780290864.732833,camera_init,0.185886,0.097551,0.000000,0.001131,-0.003652,0.065867,0.997821,0.131824,none,0.300
2,1780290866.433870,camera_init,0.374091,0.197972,0.000000,0.000350,-0.004638,0.138387,0.990367,0.277670,none,0.300
3,1780290867.832921,camera_init,0.526729,0.330269,0.000000,0.001432,-0.004777,0.206868,0.978356,0.416745,none,0.300
4,1780290868.933963,camera_init,0.704895,0.469660,0.000000,0.000912,-0.003439,0.253545,0.967317,0.512689,none,0.300
5,1780290871.532852,camera_init,0.907151,0.557732,0.000000,0.001978,-0.003445,0.237237,0.971444,0.479037,none,0.300
6,1780290873.032834,camera_init,1.111171,0.573697,0.000000,0.001553,-0.004135,0.177894,0.984040,0.357689,none,0.300
7,1780290874.233113,camera_init,1.316159,0.548390,0.000000,0.000654,-0.005291,0.111855,0.993710,0.224182,none,0.300
8,1780290875.532928,camera_init,1.518242,0.502247,0.000000,0.000126,-0.004442,0.041828,0.999115,0.083681,none,0.300
9,1780290877.933207,camera_init,1.729700,0.478748,0.000000,0.000250,-0.005286,0.020471,0.999776,0.040945,none,0.300
10,1780290880.532830,camera_init,1.935149,0.459864,0.000000,-0.000652,-0.005843,0.000933,0.999982,0.001875,none,0.300
11,1780290882.132924,camera_init,2.145425,0.449394,0.000000,-0.000505,-0.005051,0.000340,0.999987,0.000685,none,0.300
12,1780290883.932767,camera_init,2.353114,0.441595,0.000000,-0.000303,-0.005421,0.000621,0.999985,0.001246,none,0.300
13,1780290904.833126,camera_init,2.527610,0.433406,0.000000,-0.000896,-0.005514,-0.002467,0.999981,-0.004923,ext:pick,0.300
14,1780290923.632936,camera_init,2.736192,0.440047,0.000000,0.000919,-0.005219,-0.002092,0.999984,-0.004193,none,0.300
15,1780290925.033020,camera_init,2.941465,0.429505,0.000000,-0.000323,-0.003953,-0.002297,0.999989,-0.004591,none,0.300
16,1780290926.333978,camera_init,3.160683,0.422565,0.000000,-0.000037,-0.004407,0.005087,0.999977,0.010174,none,0.300
17,1780290927.632740,camera_init,3.375763,0.431410,0.000000,-0.000870,-0.003167,0.019174,0.999811,0.038355,none,0.300
18,1780290928.832758,camera_init,3.593550,0.477788,0.000000,0.000176,-0.002511,0.044418,0.999010,0.088866,none,0.300
19,1780290932.433215,camera_init,3.803432,0.496045,0.000000,0.000201,-0.003779,0.058293,0.998292,0.116653,none,0.300
20,1780290933.932936,camera_init,4.008490,0.514585,0.000000,0.000630,-0.005414,0.063368,0.997975,0.126819,none,0.300
21,1780290935.332927,camera_init,4.217464,0.526179,0.000000,0.000160,-0.004464,0.055893,0.998427,0.111845,none,0.300
22,1780290957.132910,camera_init,4.314672,0.530004,0.000000,-0.000723,-0.004134,0.053862,0.998540,0.107786,ext:traffic_light,0.300
23,1780290971.533456,camera_init,4.516893,0.554355,0.000000,-0.000795,-0.004259,0.052172,0.998629,0.104400,none,0.300
24,1780290973.033469,camera_init,4.725756,0.554598,0.000000,0.000462,-0.004129,0.051708,0.998654,0.103460,none,0.300
25,1780290974.533631,camera_init,4.936881,0.574862,0.000000,0.000026,-0.003736,0.046040,0.998933,0.092114,none,0.300
26,1780290975.933729,camera_init,5.143207,0.565242,0.000000,0.000012,-0.002741,0.030910,0.999518,0.061831,none,0.300
27,1780290980.932772,camera_init,5.350625,0.557027,0.000000,0.000356,-0.004441,0.016821,0.999849,0.033641,none,0.300
28,1780291007.932780,camera_init,5.406935,0.550955,0.000000,0.000252,-0.001788,0.011849,0.999928,0.023697,ext:place,0.300
29,1780291018.532945,camera_init,5.631933,0.506127,0.000000,0.000911,-0.002329,0.000786,0.999997,0.001567,none,0.300
30,1780291019.133114,camera_init,5.848242,0.497554,0.000000,0.000789,-0.002165,-0.008788,0.999959,-0.017580,none,0.300
31,1780291019.732874,camera_init,6.055716,0.480042,0.000000,0.001009,-0.003102,-0.020569,0.999783,-0.041148,none,0.300
32,1780291020.333045,camera_init,6.257105,0.441483,0.000000,0.000507,-0.003359,-0.030016,0.999544,-0.060045,none,0.300
33,1780291021.232952,camera_init,6.463513,0.445238,0.000000,0.002340,-0.004615,-0.032801,0.999448,-0.065638,none,0.300
34,1780291029.833339,camera_init,6.498336,0.427657,0.000000,0.001227,-0.004080,-0.034210,0.999406,-0.068445,ext:finish,0.300
