seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1778225394.616088,camera_init,-0.059014,-0.013235,0.000000,0.000240,-0.003251,-0.030276,0.999536,-0.060563,none,0.300
1,1778225402.416358,camera_init,0.242291,-0.079633,0.000000,0.001087,-0.004071,-0.116399,0.993194,-0.233341,none,0.300
2,1778225403.716254,camera_init,0.553707,-0.158266,0.000000,0.004748,-0.001122,-0.133964,0.990974,-0.268744,none,0.300
3,1778225405.116476,camera_init,0.857724,-0.226349,0.000000,0.002714,-0.004100,-0.132075,0.991228,-0.264951,none,0.300
4,1778225406.416532,camera_init,1.154769,-0.305934,0.000000,0.000901,-0.004546,-0.136374,0.990647,-0.273618,none,0.300
5,1778225407.316527,camera_init,1.438785,-0.415351,0.000000,0.003569,-0.001830,-0.169923,0.985449,-0.341514,none,0.300
6,1778225408.416725,camera_init,1.732298,-0.500507,0.000000,0.000389,-0.004724,-0.150185,0.988647,-0.301523,none,0.300
7,1778225409.916621,camera_init,2.032987,-0.504716,0.000000,0.000464,-0.004739,-0.046566,0.998904,-0.093173,none,0.300
8,1778225411.316681,camera_init,2.279158,-0.399912,0.000000,0.001591,-0.001124,0.137871,0.990448,0.276620,none,0.300
9,1778225412.715936,camera_init,2.539819,-0.226591,0.000000,0.002647,0.002136,0.254010,0.967196,0.513660,none,0.300
10,1778225414.216659,camera_init,2.741656,0.013014,0.000000,0.002095,0.001186,0.431848,0.901943,0.893085,none,0.300
11,1778225415.216805,camera_init,2.753093,0.186102,0.000000,0.000809,0.003515,0.585357,0.810767,1.250664,none,0.300
12,1778225417.016834,camera_init,2.777717,0.500961,0.000000,0.000103,0.003791,0.654974,0.755642,1.428324,none,0.300
13,1778225418.916839,camera_init,2.756711,0.817224,0.000000,0.000856,0.003303,0.714185,0.699949,1.590940,none,0.300
14,1778225420.816984,camera_init,2.743519,1.131729,0.000000,0.001075,0.007724,0.715917,0.698141,1.595995,none,0.300
15,1778225441.316007,camera_init,2.744465,1.370546,0.000000,-0.000390,0.005833,0.706280,0.707908,1.568528,ext:traffic_light,0.300
16,1778225449.715867,camera_init,2.752114,1.687136,0.000000,-0.000373,0.006202,0.707863,0.706322,1.573014,none,0.300
17,1778225451.215905,camera_init,2.835912,1.980642,0.000000,-0.002176,0.003297,0.592729,0.805392,1.268899,none,0.300
18,1778225452.413548,camera_init,2.951088,2.284705,0.000000,-0.001175,0.003921,0.565997,0.824397,1.203307,none,0.300
19,1778225453.816062,camera_init,3.070450,2.576624,0.000000,-0.000396,0.004843,0.567702,0.823220,1.207460,none,0.300
20,1778225455.316229,camera_init,3.163782,2.863148,0.000000,0.002173,0.007040,0.573063,0.819478,1.220568,none,0.300
21,1778225456.916089,camera_init,3.148270,3.153022,0.000000,0.000815,0.006599,0.711297,0.702860,1.582771,none,0.300
22,1778225458.616846,camera_init,3.015155,3.387124,0.000000,-0.000576,0.010441,0.827226,0.561772,1.948571,none,0.300
23,1778225460.316652,camera_init,2.826912,3.568395,0.000000,0.000796,0.009289,0.914367,0.404778,2.308136,none,0.300
24,1778225462.114628,camera_init,2.563293,3.680567,0.000000,-0.000028,0.010212,0.973210,0.229690,2.678097,none,0.300
25,1778225463.616450,camera_init,2.303468,3.665085,0.000000,-0.000975,0.010962,0.999191,0.038674,3.064251,none,0.300
26,1778225464.616238,camera_init,2.171396,3.577678,0.000000,-0.002311,0.011415,0.988958,-0.147738,-2.844996,none,0.300
27,1778225465.816212,camera_init,2.049220,3.428938,0.000000,-0.001701,0.009711,0.948065,-0.317925,-2.494508,none,0.300
28,1778225467.116236,camera_init,1.794345,3.237817,0.000000,-0.001943,0.008349,0.945227,-0.326300,-2.476809,none,0.300
29,1778225468.415926,camera_init,1.541131,3.041821,0.000000,-0.002817,0.009861,0.947258,-0.320308,-2.489458,none,0.300
30,1778225469.616061,camera_init,1.258380,2.924360,0.000000,0.000301,0.009013,0.981013,-0.193734,-2.751679,none,0.300
31,1778225470.915852,camera_init,0.957418,2.919249,0.000000,0.000369,0.008292,0.999554,-0.028669,-3.084255,none,0.300
32,1778225472.412829,camera_init,0.642808,2.900541,0.000000,0.000831,0.009582,0.999628,-0.025514,-3.090576,none,0.300
33,1778225473.415920,camera_init,0.459366,2.781426,0.000000,-0.001458,0.008998,0.976204,-0.216663,-2.704794,none,0.300
34,1778225474.515959,camera_init,0.298880,2.595331,0.000000,-0.002277,0.007366,0.923358,-0.383863,-2.353627,none,0.300
35,1778225476.115950,camera_init,0.180239,2.302088,0.000000,0.001175,-0.010205,-0.847589,0.530553,-2.023102,none,0.300
36,1778225477.617028,camera_init,0.100523,1.999633,0.000000,0.001136,-0.008826,-0.795985,0.605250,-1.841440,none,0.300
37,1778225478.915962,camera_init,0.018593,1.701195,0.000000,0.001132,-0.007877,-0.794275,0.607506,-1.835764,none,0.300
38,1778225480.116808,camera_init,-0.066069,1.408736,0.000000,0.000883,-0.008929,-0.802387,0.596737,-1.862748,none,0.300
39,1778225481.316772,camera_init,-0.140394,1.117726,0.000000,0.001049,-0.008843,-0.788415,0.615079,-1.816629,none,0.300
40,1778225482.516731,camera_init,-0.124854,0.816991,0.000000,0.003624,-0.007128,-0.701009,0.713108,-1.553723,none,0.300
41,1778225483.816626,camera_init,-0.022871,0.524285,0.000000,0.001438,-0.006655,-0.599707,0.800191,-1.286350,none,0.300
42,1778225485.116367,camera_init,0.128768,0.248801,0.000000,0.000461,-0.005807,-0.521189,0.853421,-1.096540,none,0.300
43,1778225486.416226,camera_init,0.302559,-0.004598,0.000000,0.001656,-0.007698,-0.469692,0.882795,-0.977977,none,0.300
44,1778225487.816264,camera_init,0.548317,-0.211646,0.000000,0.003354,-0.004325,-0.374110,0.927368,-0.766912,none,0.300
45,1778225489.016108,camera_init,0.827069,-0.365681,0.000000,0.003888,-0.004417,-0.258170,0.966082,-0.522296,none,0.300
46,1778225490.315889,camera_init,1.114664,-0.392176,0.000000,0.003423,-0.002351,-0.078492,0.996906,-0.157162,none,0.300
47,1778225491.515945,camera_init,1.418216,-0.377932,0.000000,0.002444,-0.002852,-0.004997,0.999980,-0.010007,none,0.300
48,1778225492.716047,camera_init,1.720277,-0.390776,0.000000,0.002506,-0.002033,-0.024835,0.999686,-0.049686,none,0.300
49,1778225494.016070,camera_init,2.028724,-0.397845,0.000000,0.001861,-0.002658,-0.022959,0.999731,-0.045933,none,0.300
