seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1780406704.087474,camera_init,0.031305,-0.003519,0.000000,-0.006947,-0.003787,0.010677,0.999912,0.021406,none,0.300
1,1780406717.988366,camera_init,0.149267,-0.004128,0.000000,-0.009321,-0.002102,0.012764,0.999873,0.025566,none,0.300
2,1780406718.587508,camera_init,0.254904,-0.001173,0.000000,-0.006752,-0.003261,0.013489,0.999881,0.027023,none,0.300
3,1780406719.287457,camera_init,0.358562,-0.005585,0.000000,-0.005891,-0.004114,0.011634,0.999907,0.023318,none,0.300
4,1780406720.087823,camera_init,0.468269,-0.011578,0.000000,-0.007608,-0.007044,0.009987,0.999896,0.020083,none,0.300
5,1780406720.787599,camera_init,0.592166,-0.006076,0.000000,-0.008886,-0.002962,0.006998,0.999932,0.014049,none,0.300
6,1780406721.187299,camera_init,0.694596,-0.009827,0.000000,-0.004306,-0.001897,0.005523,0.999974,0.011063,none,0.300
7,1780406721.587680,camera_init,0.796264,-0.015382,0.000000,-0.005530,-0.002724,0.002597,0.999978,0.005223,none,0.300
8,1780406722.187298,camera_init,0.909024,-0.028388,0.000000,-0.006425,-0.004623,-0.000960,0.999968,-0.001860,none,0.300
9,1780406722.787284,camera_init,1.015629,-0.036177,0.000000,-0.006984,-0.006338,-0.004509,0.999945,-0.008929,none,0.300
10,1780406723.387670,camera_init,1.115821,-0.033859,0.000000,-0.005060,-0.006243,-0.006166,0.999949,-0.012270,none,0.300
11,1780406723.887381,camera_init,1.224513,-0.041463,0.000000,-0.005006,-0.005262,-0.007319,0.999947,-0.014585,none,0.300
12,1780406724.287847,camera_init,1.326653,-0.051379,0.000000,-0.004392,-0.006854,-0.007223,0.999941,-0.014387,none,0.300
13,1780406724.887355,camera_init,1.434994,-0.057156,0.000000,-0.005430,-0.007192,-0.009542,0.999914,-0.019008,none,0.300
14,1780406725.487397,camera_init,1.541449,-0.062354,0.000000,-0.008000,-0.007223,-0.011460,0.999876,-0.022806,none,0.300
